Date,Open,High,Low,Close,Volume,Turnover
2018-01-02,10477.55,10495.2,10404.65,10442.2,158092430.0,86654700000.0
2018-01-03,10482.65,10503.6,10429.55,10443.2,172516859.0,95416000000.0
2018-01-04,10469.4,10513.0,10441.45,10504.8,180257392.0,95619500000.0
2018-01-05,10534.25,10566.1,10520.1,10558.85,186469717.0,103062200000.0
2018-01-08,10591.7,10631.2,10588.55,10623.6,174181231.0,99072700000.0
2018-01-09,10645.1,10659.15,10603.6,10637.0,211291563.0,107333700000.00002
2018-01-10,10652.05,10655.5,10592.7,10632.2,181900014.0,97206500000.0
2018-01-11,10637.05,10664.6,10612.35,10651.2,158630055.0,96350100000.0
2018-01-12,10682.55,10690.4,10597.1,10681.25,180592153.0,110051200000.00002
2018-01-15,10718.5,10782.65,10713.8,10741.55,181262074.0,113331100000.0
2018-01-16,10761.5,10762.35,10687.85,10700.45,217468081.0,127094400000.0
2018-01-17,10702.45,10803.0,10666.75,10788.55,260488465.0,143342600000.0
2018-01-18,10873.4,10887.5,10782.4,10817.0,321609375.0,179303000000.0
2018-01-19,10829.2,10906.85,10793.9,10894.7,214011963.0,117922600000.0
2018-01-22,10883.2,10975.1,10881.4,10966.2,238815813.0,144690600000.0
2018-01-23,10997.4,11092.9,10994.55,11083.7,293445774.0,164239100000.0
2018-01-24,11069.35,11110.1,11046.15,11086.0,292197072.0,169151400000.0
2018-01-25,11095.6,11095.6,11009.2,11069.65,340469462.0,199395400000.0
2018-01-29,11079.35,11171.55,11075.95,11130.4,249220726.0,161183600000.0
2018-01-30,11120.85,11121.1,11033.9,11049.65,234969503.0,132321900000.0
2018-01-31,11018.8,11058.5,10979.3,11027.7,253462573.0,144596900000.0
2018-02-01,11044.55,11117.35,10878.8,11016.9,315743486.0,177194000000.0
2018-02-02,10938.2,10954.95,10736.1,10760.6,291431992.0,165425099999.99997
2018-02-05,10604.3,10702.75,10586.8,10666.55,247479157.0,139806300000.0
2018-02-06,10295.15,10594.15,10276.3,10498.25,274656443.0,156063400000.0
2018-02-07,10607.2,10614.0,10446.4,10476.7,258095424.0,139716600000.0
2018-02-08,10518.5,10637.8,10479.55,10576.85,239407938.0,125692300000.0
2018-02-09,10416.5,10480.2,10398.2,10454.95,197502912.0,106021500000.0
2018-02-12,10518.2,10555.5,10485.4,10539.75,224114801.0,111337800000.0
2018-02-14,10585.75,10590.55,10456.65,10500.9,236329440.0,121889400000.0
2018-02-15,10537.9,10618.1,10511.05,10545.5,217090245.0,110353799999.99998
2018-02-16,10596.2,10612.9,10434.05,10452.3,190043189.0,100267099999.99998
2018-02-19,10488.9,10489.35,10302.75,10378.4,193087737.0,98713600000.0
2018-02-20,10391.0,10429.35,10347.65,10360.4,193464871.0,96199500000.0
2018-02-21,10426.0,10426.1,10349.6,10397.45,241331542.0,129963600000.0
2018-02-22,10354.35,10397.55,10340.65,10382.7,323259078.0,177114600000.0
2018-02-23,10408.1,10499.1,10396.65,10491.05,217134363.0,127043200000.0
2018-02-26,10526.55,10592.95,10520.2,10582.6,177238616.0,102748900000.0
2018-02-27,10615.2,10631.65,10537.25,10554.3,193250158.0,102764200000.0
2018-02-28,10488.95,10535.5,10461.55,10492.85,294794221.0,162991100000.0
2018-03-01,10479.95,10525.5,10447.15,10458.35,181378504.0,101794800000.0
2018-03-05,10428.3,10428.7,10323.9,10358.85,199975720.0,106739200000.0
2018-03-06,10420.5,10441.35,10215.9,10249.25,229782297.0,121439500000.0
2018-03-07,10232.95,10243.35,10141.55,10154.2,257200599.0,121288799999.99998
2018-03-08,10216.25,10270.35,10146.4,10242.65,233377712.0,114795100000.0
2018-03-09,10271.3,10296.7,10211.9,10226.85,,
2018-03-12,10301.6,10433.65,10295.45,10421.4,223135459.0,109689500000.0
2018-03-13,10389.5,10478.6,10377.85,10426.85,274852794.0,239652500000.0
2018-03-14,10393.05,10420.35,10336.3,10410.9,186991169.0,95646800000.0
2018-03-15,10405.45,10420.0,10346.2,10360.15,179308593.0,85880100000.0
2018-03-16,10345.15,10346.3,10180.25,10195.15,338702439.0,188119700000.0
2018-03-19,10215.35,10224.55,10075.3,10094.25,216670033.0,111114300000.0
2018-03-20,10051.55,10155.65,10049.1,10124.35,209327593.0,109471200000.00002
2018-03-21,10181.95,10227.3,10132.95,10155.25,,
2018-03-22,10167.5,10207.85,10105.4,10114.75,237632983.0,115588799999.99998
2018-03-23,9968.8,10027.7,9951.9,9998.05,294515154.0,144351700000.0
2018-03-26,9989.15,10143.5,9958.55,10130.65,270665332.0,126954700000.0
2018-03-27,10188.0,10207.9,10139.65,10184.15,232713976.0,111757900000.00002
2018-03-28,10143.6,10158.35,10096.9,10113.7,354977198.0,188074800000.0
2018-04-02,10151.65,10220.1,10127.75,10211.8,,
2018-04-03,10186.85,10255.35,10171.05,10245.0,,
2018-04-04,10274.6,10279.85,10111.3,10128.4,238182921.0,118617900000.00002
2018-04-05,10228.45,10331.8,10227.45,10325.15,244116235.0,116749200000.0
2018-04-06,10322.75,10350.45,10290.85,10331.6,206355691.0,101317400000.0
2018-04-09,10333.7,10397.7,10328.5,10379.35,,
2018-04-10,10412.9,10424.85,10381.5,10402.25,259523888.0,119051200000.00002
2018-04-11,10428.15,10428.15,10355.6,10417.15,258077363.0,117905800000.0
2018-04-12,10410.65,10469.9,10395.25,10458.65,246027888.0,122496600000.0
2018-04-13,10495.3,10519.9,10451.45,10480.6,219724716.0,123545500000.0
2018-04-16,10398.3,10540.15,10396.35,10528.35,200950876.0,112420500000.0
2018-04-17,10557.3,10560.45,10495.65,10548.7,212449535.0,105017099999.99998
2018-04-18,10578.9,10594.2,10509.7,10526.2,,
2018-04-19,10563.65,10572.2,10546.2,10565.3,270740891.0,125591100000.0
