Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2015-11-23,IDFCBANK,EQ,65.2,66.4,66.9,63.5,63.75,63.8,65.38,5389969,35238384430000.0,17942,3892821,0.7222
2015-11-24,IDFCBANK,EQ,63.8,63.5,64.4,62.5,63.0,62.95,63.57,3965947,25210857450000.0,20219,3243773,0.8179000000000001
2015-11-26,IDFCBANK,EQ,62.95,62.9,63.4,61.5,61.5,61.65,62.21,3270314,20345931460000.0,16907,2746391,0.8398000000000001
2015-11-27,IDFCBANK,EQ,61.65,62.25,62.5,60.6,60.9,61.0,61.46,11891846,73092947735000.0,33124,10645913,0.8952
2015-11-30,IDFCBANK,EQ,61.0,61.0,61.3,58.8,59.3,59.1,59.47,14279742,84919603935000.0,43960,12178069,0.8528
2015-12-01,IDFCBANK,EQ,59.1,59.5,61.0,59.25,60.2,60.0,60.03,8080475,48504048415000.0,20775,6943542,0.8593000000000001
2015-12-02,IDFCBANK,EQ,60.0,60.2,61.75,59.9,60.4,60.3,60.61,3469139,21024772955000.0,14429,2025565,0.5839
2015-12-03,IDFCBANK,EQ,60.3,60.25,61.0,60.0,60.95,60.55,60.44,1759788,10636836935000.0,12086,1322341,0.7514000000000001
2015-12-04,IDFCBANK,EQ,60.55,60.4,60.95,60.1,60.5,60.5,60.5,2315577,14009051494999.998,8727,1941273,0.8384
2015-12-07,IDFCBANK,EQ,60.5,60.15,60.9,59.2,59.4,59.45,59.84,2506784,14999569255000.002,23810,1996502,0.7964
2015-12-08,IDFCBANK,EQ,59.45,59.5,59.7,57.5,57.8,57.7,58.54,5021161,29395372360000.004,19008,4461845,0.8886000000000001
2015-12-09,IDFCBANK,EQ,57.7,57.5,57.75,54.9,56.75,56.85,56.14,3845559,21589487365000.0,20268,2521547,0.6557
2015-12-10,IDFCBANK,EQ,56.85,56.85,57.45,54.9,57.2,56.85,56.22,4065888,22857264480000.0,28765,3183227,0.7829
2015-12-11,IDFCBANK,EQ,56.85,57.5,57.9,55.1,55.3,55.3,56.3,2150514,12107690750000.0,21333,1633071,0.7594
2015-12-14,IDFCBANK,EQ,55.3,55.1,56.0,54.05,55.65,55.75,55.11,2469970,13611358765000.0,11312,1689050,0.6838
2015-12-15,IDFCBANK,EQ,55.75,56.4,56.4,55.05,55.5,55.5,55.48,1200925,6662636530000.0,9581,847514,0.7057
2015-12-16,IDFCBANK,EQ,55.5,56.3,56.7,55.5,56.0,56.05,56.09,2565897,14391372694999.998,12165,1958079,0.7631
2015-12-17,IDFCBANK,EQ,56.05,56.75,59.8,56.35,57.8,58.05,58.66,4120544,24169759345000.0,14782,2173267,0.5274
2015-12-18,IDFCBANK,EQ,58.05,57.9,58.8,56.8,58.4,58.4,58.05,1948073,11307951210000.0,8032,1226433,0.6296
2015-12-21,IDFCBANK,EQ,58.4,58.1,58.5,57.05,57.55,57.45,57.52,2030444,11678866215000.0,10864,1464623,0.7212999999999999
2015-12-22,IDFCBANK,EQ,57.45,58.35,59.5,57.3,59.4,59.3,58.3,3471327,20236547670000.0,10228,2440497,0.703
2015-12-23,IDFCBANK,EQ,59.3,59.95,61.45,59.0,59.45,59.3,60.33,3113367,18784458405000.0,9993,2111096,0.6781
2015-12-24,IDFCBANK,EQ,59.3,59.9,61.2,59.0,61.05,60.9,60.2,1203837,7246978270000.0,4983,888395,0.738
2015-12-28,IDFCBANK,EQ,60.9,61.0,61.35,59.75,59.85,59.95,60.56,1371121,8303671105000.0,5028,994797,0.7255
2015-12-29,IDFCBANK,EQ,59.95,59.5,62.25,59.5,62.0,61.85,61.34,3266454,20035252715000.0,10544,2588624,0.7925
2015-12-30,IDFCBANK,EQ,61.85,62.0,62.4,61.25,61.25,61.5,61.78,1081847,6683673065000.0,5931,692470,0.6401000000000001
2015-12-31,IDFCBANK,EQ,61.5,62.4,62.4,60.25,60.65,60.85,61.11,1207626,7380355470000.0,5814,922116,0.7636000000000001
2016-01-01,IDFCBANK,EQ,60.85,61.4,61.4,60.4,60.75,60.7,60.85,559738,3406156400000.0,2709,329806,0.5892000000000001
2016-01-04,IDFCBANK,EQ,60.7,61.2,61.2,58.75,58.95,58.95,59.63,1386464,8268071359999.999,7444,1115916,0.8049
2016-01-05,IDFCBANK,EQ,58.95,58.9,59.9,58.6,59.0,59.0,59.23,719306,4260800979999.9995,3486,408770,0.5683
2016-01-06,IDFCBANK,EQ,59.0,59.0,59.35,57.45,57.65,57.75,57.97,6064793,35157792870000.0,8526,5500764,0.907
2016-01-07,IDFCBANK,EQ,57.75,57.45,57.45,55.4,55.8,55.9,56.0,1830148,10249065200000.0,9512,1292608,0.7062999999999999
2016-01-08,IDFCBANK,EQ,55.9,56.3,56.7,54.9,55.0,55.1,55.45,1605370,8902093260000.0,10974,1212218,0.7551000000000001
2016-01-11,IDFCBANK,EQ,55.1,54.45,54.95,53.75,53.95,53.9,54.0,2036154,10994341145000.0,15250,1568608,0.7704000000000001
2016-01-12,IDFCBANK,EQ,53.9,54.45,54.45,52.0,52.5,52.35,52.75,2404371,12683851300000.0,12890,1605307,0.6677
2016-01-13,IDFCBANK,EQ,52.35,53.35,53.35,48.6,51.5,51.3,50.39,3746052,18875118565000.0,16702,2702089,0.7212999999999999
2016-01-14,IDFCBANK,EQ,51.3,50.2,50.95,48.4,49.2,48.7,49.28,3748307,18470875285000.0,14944,2903968,0.7747
2016-01-15,IDFCBANK,EQ,48.7,50.0,50.0,46.0,46.8,46.85,47.39,3724209,17648909610000.0,13109,2898739,0.7784000000000001
2016-01-18,IDFCBANK,EQ,46.85,46.0,47.2,44.65,45.15,45.05,45.61,4818608,21976022095000.0,18664,4015551,0.8333
2016-01-19,IDFCBANK,EQ,45.05,45.55,46.5,44.35,45.55,45.55,45.63,2307643,10528744970000.0,13717,1407671,0.61
2016-01-20,IDFCBANK,EQ,45.55,45.9,46.35,43.1,43.4,43.45,44.34,4740748,21022573950000.0,17984,3484299,0.735
2016-01-21,IDFCBANK,EQ,43.45,44.5,45.4,43.1,43.5,43.45,44.09,5008794,22085449530000.0,56256,3736617,0.746
2016-01-22,IDFCBANK,EQ,43.45,44.3,47.05,43.95,46.95,46.05,44.63,14500924,64721774365000.0,35076,12779147,0.8813
2016-01-25,IDFCBANK,EQ,46.05,47.1,48.0,46.65,47.75,47.3,47.34,1868903,8847799990000.0,5267,1406914,0.7528
2016-01-27,IDFCBANK,EQ,47.3,48.6,51.0,47.75,50.15,50.6,49.57,2366639,11731199070000.0,9694,1272416,0.5376
2016-01-28,IDFCBANK,EQ,50.6,52.2,52.5,49.55,50.7,50.75,50.75,3585050,18193427830000.0,15842,2036620,0.5681
2016-01-29,IDFCBANK,EQ,50.75,50.95,53.0,49.5,52.75,52.55,51.7,3022242,15626000810000.0,11534,1995223,0.6602
2016-02-01,IDFCBANK,EQ,52.55,52.95,57.4,52.0,56.7,56.75,55.4,4700070,26037621750000.0,22896,2640519,0.5618
2016-02-02,IDFCBANK,EQ,56.75,58.4,58.75,53.75,53.9,54.35,56.52,4109847,23227196090000.0,18506,2448776,0.5958
2016-02-03,IDFCBANK,EQ,54.35,54.35,54.35,51.2,51.9,52.1,52.23,4385867,22906002605000.0,20333,3252508,0.7415999999999999
2016-02-04,IDFCBANK,EQ,52.1,52.65,54.1,52.65,53.5,53.45,53.37,1789226,9549319855000.0,22208,1095610,0.6123
2016-02-05,IDFCBANK,EQ,53.45,53.8,55.35,53.6,55.0,54.95,54.64,8000086,43714172100000.0,51442,7017212,0.8771
2016-02-08,IDFCBANK,EQ,54.95,55.4,56.4,54.0,54.6,54.4,54.98,1943263,10684648490000.0,19380,1139221,0.5861999999999999
2016-02-09,IDFCBANK,EQ,54.4,45.0,54.0,45.0,53.75,53.6,53.44,2228896,11911329965000.0,11384,1330382,0.5969
2016-02-10,IDFCBANK,EQ,53.6,52.6,54.0,52.5,53.35,53.05,53.08,2213310,11747908310000.0,19301,1542046,0.6967
2016-02-11,IDFCBANK,EQ,53.05,52.85,53.0,50.4,50.9,50.75,51.5,2303896,11864905575000.0,16100,1720849,0.7469
2016-02-12,IDFCBANK,EQ,50.75,51.3,52.0,48.5,50.25,50.4,49.61,7720654,38304501465000.0,15206,6624571,0.858
2016-02-15,IDFCBANK,EQ,50.4,51.25,54.3,51.2,53.8,54.0,52.95,1855770,9826790260000.0,7700,906327,0.48840000000000006
2016-02-16,IDFCBANK,EQ,54.0,54.15,55.1,50.0,50.55,50.45,52.11,1310654,6829260775000.0,8012,812055,0.6196
2016-02-17,IDFCBANK,EQ,50.45,50.75,51.8,49.8,51.5,51.4,50.79,917949,4662142185000.0,5407,452115,0.4925
2016-02-18,IDFCBANK,EQ,51.4,52.9,53.2,50.1,50.6,50.7,51.29,1242293,6371408045000.0,6340,660405,0.5316
2016-02-19,IDFCBANK,EQ,50.7,50.6,52.2,50.25,50.8,50.8,51.0,1429833,7292593465000.001,8219,754035,0.5274
2016-02-22,IDFCBANK,EQ,50.8,51.0,51.7,49.2,49.5,49.55,50.38,2208257,11125536800000.0,17279,1589790,0.7199
2016-02-23,IDFCBANK,EQ,49.55,49.85,50.0,48.0,48.05,48.05,48.5,1628615,7899227340000.001,10032,1203218,0.7388
2016-02-24,IDFCBANK,EQ,48.05,48.05,48.2,46.55,46.75,46.75,47.13,1957560,9226240475000.0,9365,1302368,0.6653
