Date,Open,High,Low,Close,Volume,Turnover
2019-01-14,9368.95,9370.8,9276.3,9341.95,,
2019-01-15,9358.15,9467.55,9357.95,9457.75,,
2019-01-16,9460.35,9473.1,9401.9,9416.45,,
2019-01-17,9427.95,9440.15,9379.75,9420.7,,
2019-01-18,9425.7,9442.75,9367.15,9397.85,,
2019-01-21,9414.5,9446.45,9366.2,9383.85,,
2019-01-22,9372.55,9390.05,9299.6,9379.85,,
2019-01-23,9405.45,9415.4,9312.6,9327.05,,
2019-01-24,9337.55,9354.75,9308.25,9330.5,,
2019-01-25,9340.85,9389.75,9220.15,9253.2,,
2019-01-28,9269.35,9274.15,9163.25,9202.1,,
2019-01-29,9192.25,9237.8,9154.2,9214.85,,
2019-01-30,9243.25,9268.65,9185.15,9228.05,,
2019-01-31,9258.1,9339.65,9223.15,9328.2,,
2019-02-01,9354.2,9556.75,9348.95,9506.25,,
2019-02-04,9527.35,9576.45,9496.05,9535.25,,
2019-02-05,9543.2,9593.25,9540.65,9565.35,,
2019-02-06,9614.4,9710.95,9604.8,9692.25,,
2019-02-07,9703.6,9795.0,9697.65,9781.0,,
2019-02-08,9742.05,9794.3,9640.75,9656.55,,
2019-02-11,9647.95,9656.0,9559.35,9632.25,,
2019-02-12,9636.6,9638.55,9559.35,9587.95,,
2019-02-13,9618.5,9628.9,9501.55,9515.4,,
2019-02-14,9500.3,9513.85,9450.15,9459.55,,
2019-02-15,9482.2,9482.35,9295.25,9384.15,,
2019-02-18,9397.2,9407.05,9241.95,9295.85,,
2019-02-19,9295.45,9330.8,9218.3,9230.3,,
2019-02-20,9260.2,9305.6,9227.3,9293.45,,
2019-02-21,9309.95,9347.25,9281.5,9334.25,,
2019-02-22,9343.9,9398.55,9332.45,9392.45,,
2019-02-25,9416.55,9485.9,9391.45,9475.85,,
2019-02-26,9427.85,9523.9,9363.2,9486.3,,
2019-02-27,9519.5,9591.6,9437.7,9487.5,,
2019-02-28,9544.1,9544.1,9453.2,9479.15,,
2019-03-01,9507.4,9548.8,9484.45,9512.6,,
2019-03-05,9504.05,9613.1,9480.0,9605.1,,
2019-03-06,9632.3,9645.2,9590.35,9618.3,,
2019-03-07,9646.8,9646.8,9546.85,9559.15,,
2019-03-08,9551.9,9560.15,9520.7,9549.95,,
2019-03-11,9581.45,9705.85,9577.05,9699.9,,
2019-03-12,9744.1,9793.85,9722.7,9741.2,,
2019-03-13,9764.0,9785.15,9696.1,9712.35,,
2019-03-14,9743.4,9744.1,9663.0,9697.65,,
2019-03-15,9715.5,9737.4,9681.1,9694.5,,
2019-03-18,9730.7,9737.25,9635.25,9656.4,,
2019-03-19,9679.8,9690.95,9624.85,9681.25,,
2019-03-20,9704.55,9709.05,9624.25,9636.3,,
2019-03-22,9641.55,9676.2,9578.85,9602.95,,
2019-03-25,9570.75,9570.75,9512.5,9550.75,,
2019-03-26,9569.8,9627.15,9537.55,9616.05,,
2019-03-27,9640.15,9651.9,9558.1,9571.7,,
2019-03-28,9592.6,9667.1,9587.45,9639.5,,
2019-03-29,9687.3,9689.75,9641.2,9684.7,,
2019-04-01,9727.05,9760.95,9690.5,9707.3,,
2019-04-02,9738.0,9765.05,9685.9,9708.8,,
2019-04-03,9732.15,9743.6,9677.55,9688.8,,
2019-04-04,9712.75,9712.75,9650.7,9700.65,,
2019-04-05,9726.95,9735.5,9689.9,9713.15,,
2019-04-08,9735.7,9741.5,9655.3,9697.85,,
2019-04-09,9701.85,9749.5,9671.65,9741.4,,
2019-04-10,9741.5,9748.15,9682.45,9693.9,,
2019-04-11,9694.55,9716.75,9666.95,9690.15,,
2019-04-12,9700.8,9753.1,9691.6,9745.75,,
2019-04-15,9774.55,9836.8,9768.45,9828.75,,
2019-04-16,9865.45,9903.3,9856.55,9888.0,,
2019-04-18,9909.7,9921.45,9848.9,9860.95,,
2019-04-22,9842.7,9846.45,9783.6,9789.5,,
2019-04-23,9799.0,9811.85,9748.6,9762.15,,
2019-04-24,9777.65,9853.4,9762.4,9845.05,,
2019-04-25,9857.0,9863.4,9773.1,9782.3,,
2019-04-26,9807.85,9830.8,9773.1,9801.15,,
