,SYMBOLS,Date
0,PILANIINVS,2016-02-19
1,HMT,2016-05-20
2,ATLASCYCLE,2017-01-18
3,ABGSHIP,2017-01-23
4,TANTIACONS,2017-02-15
5,GOLDENTOBC,2017-03-15
6,GLFL,2017-03-16
7,KHAITANELE,2017-03-20
8,BLUECHIP,2017-03-21
9,HOTELRUGBY,2017-03-23
10,JIKIND,2017-03-23
11,LGBFORGE,2017-03-27
12,PIRPHYTO,2017-04-06
13,VIMALOIL,2017-04-10
14,INTEGRA,2017-04-24
15,BVCL,2017-04-26
16,MELSTAR,2017-05-05
17,GANGOTRI,2017-05-22
18,SURANACORP,2017-06-27
19,HEXATRADEX,2017-07-19
20,KGL,2017-07-19
21,HANUNG,2017-08-02
22,ANKITMETAL,2017-08-07
23,SHARONBIO,2017-09-13
24,EDUCOMP,2017-09-22
25,BHARATIDIL,2017-09-27
26,ORCHIDPHAR,2017-09-27
27,KSERASERA,2017-11-13
28,ALCHEM,2017-11-22
29,SEZAL,2017-12-01
30,RAJRAYON,2017-12-06
31,CURATECH,2017-12-29
32,ICSA,2018-01-03
33,PRADIP,2018-01-17
34,GEMINI,2018-02-06
35,PKTEA,2018-02-06
36,TODAYS,2018-02-06
37,ZENITHBIR,2018-02-06
38,FIRSTWIN,2018-02-20
39,NAKODA,2018-02-21
40,ALPSINDUS,2018-03-16
41,ANGIND,2018-03-16
42,IMPEXFERRO,2018-03-16
43,RAJVIR,2018-03-16
44,SITASHREE,2018-03-16
45,SPYL,2018-03-16
46,SUPREMETEX,2018-03-16
47,SURANAIND,2018-03-16
48,TECHIN,2018-03-16
49,TULSI,2018-03-16
50,WINSOME,2018-03-16
51,XLENERGY,2018-03-16
52,ZYLOG,2018-03-16
53,AMTEKAUTO,2018-03-28
54,JYOTISTRUC,2018-03-28
55,UVSL,2018-03-28
56,TANLA,2018-04-11
57,BILENERGY,2018-04-26
58,BRFL,2018-04-26
59,GITANJALI,2018-04-26
60,GTLINFRA,2018-04-26
61,DIAPOWER,2018-04-30
62,EASUNREYRL,2018-04-30
63,ZENITHEXPO,2018-04-30
64,JPINFRATEC,2018-05-03
65,JBFIND,2018-05-04
66,CALSOFT,2018-05-09
67,BILPOWER,2018-05-17
68,MBECL,2018-05-21
69,NTL,2018-05-21
70,PANORAMUNI,2018-05-21
71,PINCON,2018-05-21
72,PRATIBHA,2018-05-21
73,SMPL,2018-05-21
74,SUJANAUNI,2018-05-21
75,TARAPUR,2018-05-21
76,VIDEOIND,2018-05-21
77,ALOKTEXT,2018-06-06
78,MOSERBAER,2018-06-06
79,IBVENTURES,2018-06-14
80,TFL,2018-06-14
81,EUROMULTI,2018-06-18
82,EUROCERA,2018-06-22
83,MANDHANA,2018-06-22
84,WSI,2018-06-22
85,BOMDYEING,2018-07-03
86,EMAMIINFRA,2018-07-03
87,OPTIEMUS,2018-07-03
88,RAIN,2018-07-03
89,NDTV,2018-07-04
90,OPTOCIRCUI,2018-07-04
91,RAINBOWPAP,2018-07-04
92,ADHUNIK,2018-07-23
93,ADROITINFO,2018-07-23
94,BHAGYANGR,2018-07-23
95,GISOLUTION,2018-07-23
96,IVRCLINFRA,2018-07-23
97,NORBTEAEXP,2018-07-23
98,QUINTEGRA,2018-07-25
99,GARWALLROP,2018-07-26
100,MONNETISPA,2018-07-31
101,CINEVISTA,2018-08-01
102,GAL,2018-08-01
103,JMTAUTOLTD,2018-08-01
104,METALFORGE,2018-08-01
105,ORTEL,2018-08-01
106,SUMEETINDS,2018-08-01
107,3PLAND,2018-08-02
108,ARCOTECH,2018-08-07
109,TECHNO,2018-08-07
110,HINDSYNTEX,2018-08-08
111,JAIHINDPRO,2018-08-08
112,OLECTRA,2018-08-08
113,PAEL,2018-08-08
114,BLUECOAST,2018-08-09
115,SABEVENTS,2018-08-09
116,UMESLTD,2018-08-09
117,DWARKESH,2018-08-10
118,GEPIL,2018-08-10
119,GET&D,2018-08-10
120,GICHSGFIN,2018-08-10
121,GICRE,2018-08-10
122,GILLANDERS,2018-08-10
123,GINNIFILA,2018-08-10
124,GIPCL,2018-08-10
125,GLOBOFFS,2018-08-10
126,GMBREW,2018-08-10
127,GMDCLTD,2018-08-10
128,GMMPFAUDLR,2018-08-10
129,GOACARBON,2018-08-10
130,GOCLCORP,2018-08-10
131,GODREJAGRO,2018-08-10
132,GOKEX,2018-08-10
133,GOKUL,2018-08-10
134,GOKULAGRO,2018-08-10
135,GOLDIAM,2018-08-10
136,GPIL,2018-08-10
137,GPTINFRA,2018-08-10
138,GRAPHITE,2018-08-10
139,GRAVITA,2018-08-10
140,GREAVESCOT,2018-08-10
141,GREENLAM,2018-08-10
142,GREENPLY,2018-08-10
143,GREENPOWER,2018-08-10
144,GSCLCEMENT,2018-08-10
145,GSPL,2018-08-10
146,GTNTEX,2018-08-10
147,GUJAPOLLO,2018-08-10
148,GUJFLUORO,2018-08-10
149,HAL,2018-08-10
150,HARITASEAT,2018-08-10
151,HATSUN,2018-08-10
152,HCG,2018-08-10
153,HCL-INSYS,2018-08-10
154,HDIL,2018-08-10
155,HEIDELBERG,2018-08-10
156,HERCULES,2018-08-10
